Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-21,USD,11974.14,680.41,1363.45,0.00,0.00,2118.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.38,67.54,8946.98,9014.52,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500284365,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1702.54,-67.80,0.00,-416.20,67.80,0.00,67.54
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-21,USD,10145.53,614.37,1334.69,0.00,0.00,960.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.54,211.25,8307.08,8518.33,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500286824,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-874.46,-79.85,0.00,-86.13,79.85,0.00,211.25
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-21,USD,6921.33,427.79,860.24,0.00,0.00,508.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.27,33.13,5916.96,5950.09,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500284693,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-466.08,-105.25,0.00,-42.57,105.25,0.00,33.13
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-21,USD,14737.67,840.19,1706.82,0.00,0.00,2561.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.65,77.70,11034.48,11112.18,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500283100,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2057.01,-43.56,0.00,-504.90,43.56,0.00,77.70
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-07-21,USD,4382.98,261.91,506.04,0.00,0.00,469.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,26.97,3621.95,3648.92,2025-07-14,2025-07-20,2025-07-14,2025-07-21,500280624,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-429.13,-8.72,0.00,-40.59,8.72,0.00,26.97
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-07-21,USD,10677.99,635.81,1248.83,0.00,0.00,1196.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.89,68.51,8747.60,8816.11,2025-07-14,2025-07-20,2025-07-14,2025-07-21,500279911,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1079.66,-91.68,0.00,-116.82,91.68,0.00,68.51
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-07-14,USD,16018.78,956.74,1918.11,0.00,0.00,1633.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.08,77.41,13236.66,13314.07,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498486211,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1579.22,-163.93,0.00,-54.45,163.93,0.00,77.41
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-07-14,USD,6904.59,422.61,822.82,0.00,0.00,545.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.88,49.56,5820.90,5870.46,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498487017,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-525.80,-50.42,0.00,-19.80,50.42,0.00,49.56
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-07-14,USD,5939.29,334.22,675.66,0.00,0.00,1025.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.29,29.20,4500.43,4529.63,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498491025,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-894.45,-39.44,0.00,-130.68,39.44,0.00,29.20
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-14,USD,13460.22,761.70,1524.93,0.00,0.00,2252.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.36,76.21,10184.92,10261.13,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498486127,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1963.69,-86.13,0.00,-289.02,86.13,0.00,76.21
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-14,USD,11276.51,667.18,1445.91,0.00,0.00,1299.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384.57,70.61,8813.59,8884.20,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498490073,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1205.57,-137.57,0.00,-94.05,137.57,0.00,70.61
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-14,USD,6593.25,386.16,779.38,0.00,0.00,797.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.54,38.09,5362.92,5401.01,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498490174,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-764.90,-66.48,0.00,-32.67,66.48,0.00,38.09
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-14,USD,15592.12,889.37,1797.55,0.00,0.00,2525.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.12,76.26,11923.25,11999.51,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498488303,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2167.19,-91.54,0.00,-358.38,91.54,0.00,76.26
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-07-14,USD,4920.26,290.09,559.75,0.00,0.00,565.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.16,18.85,4064.18,4083.03,2025-07-07,2025-07-13,2025-07-07,2025-07-14,498486868,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-542.49,-55.70,0.00,-22.77,55.70,0.00,18.85
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-07-14,USD,10907.24,643.57,1274.87,0.00,0.00,1293.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.18,46.94,8844.77,8891.71,2025-07-07,2025-07-13,2025-07-07,2025-07-14,498481139,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1194.00,-87.18,0.00,-99.99,87.18,0.00,46.94
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-07-07,USD,15533.94,943.92,1885.38,0.00,0.00,1331.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.09,72.02,13024.69,13096.71,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496701409,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1287.15,-332.94,0.00,-44.55,332.94,0.00,72.02
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-07-07,USD,9907.63,616.05,1187.83,0.00,0.00,635.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.79,29.36,8558.64,8588.00,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496701524,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-610.67,-110.17,0.00,-24.75,110.17,0.00,29.36
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-07-07,USD,5768.47,337.51,682.14,0.00,0.00,694.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.43,31.69,4692.30,4723.99,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496703875,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-674.31,-99.05,0.00,-19.80,99.05,0.00,31.69
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-07,USD,10993.05,651.33,1309.91,0.00,0.00,1199.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.76,52.84,8996.99,9049.83,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496699114,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1160.12,-302.44,0.00,-39.60,302.44,0.00,52.84
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-07,USD,8671.15,529.64,1141.89,0.00,0.00,709.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.57,122.12,7191.05,7313.17,2025-06-30,2025-07-06,2025-06-30,2025-07-07,496701757,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-676.61,-185.90,0.00,-32.67,185.90,0.00,122.12
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-07,USD,5078.90,305.26,621.22,0.00,0.00,489.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.68,30.72,4223.54,4254.26,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496696494,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-470.91,-133.06,0.00,-18.81,133.06,0.00,30.72
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-07,USD,15231.99,912.17,1848.47,0.00,0.00,1515.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.38,71.21,12623.81,12695.02,2025-06-30,2025-07-07,2025-06-30,2025-07-07,496701990,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1465.01,-297.96,0.00,-50.49,297.96,0.00,71.21
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-07-07,USD,3770.55,237.39,453.55,0.00,0.00,195.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.91,17.26,3248.78,3266.04,2025-06-30,2025-07-06,2025-06-30,2025-07-07,496702980,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-186.79,-52.38,0.00,-8.91,52.38,0.00,17.26
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-07-07,USD,9387.24,566.59,1112.18,0.00,0.00,860.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.40,142.41,7909.87,8052.28,2025-06-30,2025-07-06,2025-06-30,2025-07-07,496697796,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-834.64,-133.25,-7.24,-25.74,133.25,7.24,142.41
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-06-30,USD,14449.59,921.61,1848.67,0.00,0.00,538.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.48,83.04,12879.88,12962.92,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494937587,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-538.17,-396.97,0.00,0.00,396.97,0.00,83.04
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-06-30,USD,5962.43,382.48,734.15,0.00,0.00,189.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.14,18.19,5372.07,5390.26,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494948296,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-189.55,-128.39,0.00,0.00,128.39,0.00,18.19
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-06-30,USD,6424.60,407.34,823.22,0.00,0.00,276.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.84,27.35,5666.86,5694.21,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494948045,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-276.02,-138.39,0.00,0.00,138.39,0.00,27.35
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-06-30,USD,10686.51,682.74,1368.30,0.00,0.00,380.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.15,50.49,9345.92,9396.41,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494942479,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-380.88,-339.92,0.00,0.00,339.92,0.00,50.49
946252,McDonald's (18576-WINSLOW),5579,18576,2025-06-30,USD,6593.36,426.78,917.18,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.88,21.58,5804.18,5825.76,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494942287,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-152.90,-173.20,-9.24,0.00,173.20,9.24,21.58
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-06-30,USD,6144.05,389.69,768.11,0.00,0.00,260.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.47,25.29,5431.41,5456.70,2025-06-23,2025-06-29,2025-06-23,2025-06-30,494940628,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-260.75,-143.80,0.00,0.00,143.80,0.00,25.29
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-06-30,USD,14302.81,914.77,1825.02,0.00,0.00,495.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.18,67.47,12723.65,12791.12,2025-06-23,2025-06-30,2025-06-23,2025-06-30,494948614,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-495.73,-481.06,0.00,0.00,481.06,0.00,67.47
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-06-30,USD,3140.09,203.22,397.13,0.00,0.00,73.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.24,19.54,2862.64,2882.18,2025-06-23,2025-06-29,2025-06-23,2025-06-30,494937075,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-73.30,-87.62,0.00,0.00,87.62,0.00,19.54
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-06-30,USD,9619.23,613.73,1195.34,0.00,0.00,356.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.31,45.96,8549.99,8595.95,2025-06-23,2025-06-29,2025-06-23,2025-06-30,494948435,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-356.32,-268.80,-15.00,0.00,268.80,15.00,45.96
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-06-23,USD,14111.65,889.91,1779.17,0.00,0.00,680.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.93,89.19,12270.89,12360.08,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493186819,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-680.57,-196.90,0.00,0.00,196.90,0.00,89.19
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-06-23,USD,3638.01,233.21,439.74,0.00,0.00,117.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.69,12.78,3283.95,3296.73,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493181459,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-117.84,-29.47,0.00,0.00,29.47,0.00,12.78
