Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4920.26,199,197,24.72,559.75,565.26,2162.06,6.00,49.79,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (2401-TURNERSVILLE),946258,5579,2401,6625.30,307,307,21.58,780.55,819.14,2700.08,12.00,93.38,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (4592-OCEAN CITY),659406,5579,4592,6921.11,277,277,24.99,823.70,545.60,2290.84,24.00,150.96,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,15540.68,714,711,21.77,1791.39,2513.70,11901.89,9.00,92.20,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (12008-CROSS KEYS),946236,5579,12008,5839.33,267,267,21.87,692.53,694.11,1871.55,18.00,117.57,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,15482.65,716,712,21.62,1879.92,1322.82,4061.66,27.00,222.55,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (18170-NO WOODBURY),946241,5579,18170,10971.88,496,495,22.12,1311.32,1169.27,3386.53,12.00,115.12,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (18576-WINSLOW),946252,5579,18576,8713.21,421,419,20.70,1146.87,709.28,2235.17,18.00,157.15,USD
Week of 2025-06-30,2025-06-30,2025-07-06,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,9387.24,404,403,23.24,1112.18,860.38,2495.45,33.00,254.08,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,3770.55,154,152,24.48,453.55,195.70,725.05,6.00,21.95,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (2401-TURNERSVILLE),946258,5579,2401,5013.23,223,222,22.48,615.31,468.15,1335.56,6.00,29.95,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (4592-OCEAN CITY),659406,5579,4592,9912.98,355,343,27.92,1189.23,628.23,2801.99,24.00,221.56,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,15252.96,682,678,22.37,1850.93,1523.39,4568.02,12.00,151.39,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (12008-CROSS KEYS),946236,5579,12008,6337.66,288,287,22.01,810.96,276.02,1112.62,15.00,128.79,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,14404.64,701,698,20.55,1843.15,538.17,2017.33,30.00,223.70,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (18170-NO WOODBURY),946241,5579,18170,10567.79,499,498,21.18,1351.84,380.88,1455.91,24.00,140.42,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (18576-WINSLOW),946252,5579,18576,6538.32,321,318,20.37,910.24,152.90,572.43,6.00,21.58,USD
Week of 2025-06-23,2025-06-23,2025-06-29,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,9619.23,413,411,23.29,1195.34,356.32,1458.67,39.00,370.06,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,3140.09,127,127,24.73,397.13,73.30,258.45,0.00,0.00,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (2401-TURNERSVILLE),946258,5579,2401,6144.05,294,293,20.90,768.11,260.75,927.87,15.00,80.08,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (4592-OCEAN CITY),659406,5579,4592,5872.02,217,215,27.06,723.22,189.55,864.29,12.00,101.35,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,14241.51,661,655,21.55,1817.49,487.84,2026.92,15.00,106.44,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (12008-CROSS KEYS),946236,5579,12008,5469.54,262,262,20.88,697.31,254.45,989.04,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,14111.65,671,670,21.03,1779.17,680.57,2644.13,45.00,287.89,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (18170-NO WOODBURY),946241,5579,18170,10098.09,466,465,21.67,1288.50,414.73,1644.78,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (18576-WINSLOW),946252,5579,18576,4315.95,206,205,20.95,607.49,54.53,201.05,0.00,0.00,USD
